Verse,Reference,Topic
But the wisdom from above is first of all pure. It is also peace loving.,James 3:17,Peace
Peacemakers who sow in peace reap a harvest of righteousness.,James 3:18,Peace
"Humble yourselves before the Lord, and he will lift you up in honor.",James 4:10,Humility
"Don’t speak evil against each other, dear brothers and sisters.",James 4:11,Love
But he gives us even more grace to stand against such evil desires.,James 4:6,Grace
"Come close to God, and God will come close to you.",James 4:8,God's Presence
"We give great honor to those who endure under suffering. For instance, you know about Job, a man of great endurance. You can see how the Lord was kind to him at the end, for the Lord is full of tenderness and mercy.",James 5:11,Compassion
Confess your sins to each other and pray for each other so that you may be healed.,James 5:16,Forgiveness
"Be patient, then, brothers and sisters, until the Lord’s coming.",James 5:7,Patience
"You also must be patient. Take courage, for the coming of the Lord is near.",James 5:8,Patience
"I have made you strong, like a fortified city that cannot be captured.",Jeremiah 1:18,Courage
"They will fight against you, but they will fail. For I am with you, and I will take care of you.",Jeremiah 1:19,Courage
But blessed are those who trust in the Lord and have made the Lord their hope and confidence.,Jeremiah 17:7,Trust
Blessed are those who trust in the Lord… They are like trees planted along a riverbank.,Jeremiah 17:7-8,Water & Life
Woe to the shepherds who destroy and scatter the sheep of my pasture!,Jeremiah 23:1,Shepherd
"Then I will appoint responsible shepherds who will care for them, and they will never be afraid again.",Jeremiah 23:4,Shepherd
"For I know the plans I have for you,” says the Lord. “They are plans for good and not for disaster, to give you a future and a hope.”",Jeremiah 29:11,Hope
"If you look for me wholeheartedly, you will find me.",Jeremiah 29:13,God's Presence
For I will forgive their wickedness and will remember their sins no more.,Jeremiah 31:34,Forgiveness
You will live secure and full of hope; you will be protected and rest in safety.,Job 11:18,Hope
"Wisdom belongs to the aged, and understanding to the old.",Job 12:12,Wisdom
"Submit to God, and you will have peace; then things will go well for you.",Job 22:21,Peace
"Return to the Lord your God, for he is merciful and compassionate, slow to get angry and filled with unfailing love.",Joel 2:13,Forgiveness
The Word became human and made his home among us. He was full of unfailing love and faithfulness.,John 1:14,Grace
Out of his fullness we have all received grace in place of grace already given.,John 1:16,Grace
"For the law was given through Moses, but God’s unfailing love and faithfulness came through Jesus Christ.",John 1:17,Grace
"The light shines in the darkness, and the darkness can never extinguish it.",John 1:5,Light in Darkness
I am the good shepherd. The good shepherd sacrifices his life for the sheep.,John 10:11,Jesus
"I am the good shepherd; I know my own sheep, and they know me.",John 10:14,Shepherd
"My sheep listen to my voice; I know them, and they follow me.",John 10:27,Jesus
"I will give them eternal life, and they will never perish. No one can snatch them away from me.",John 10:28,Shepherd
Jesus wept.,John 11:35,Compassion
"I have come into the world as a light, so that no one who believes in me should stay in darkness.",John 12:46,Light in Darkness
"A new commandment I give you: Love each other. Just as I have loved you, you should love each other.",John 13:34,Love
"By this everyone will know that you are my disciples, if you love one another.",John 13:35,Disciples
"Don’t let your hearts be troubled. Trust in God, and trust also in me.",John 14:1,Trust
"And I will ask the Father, and he will give you another Advocate, who will never leave you.",John 14:16,Holy Spirit
In my Father’s house are many rooms... I am going there to prepare a place for you.,John 14:2,Promise
"Jesus replied, 'Anyone who loves me will obey my teaching. My Father will love them.'",John 14:23,Jesus
"But when the Father sends the Advocate as my representative—that is, the Holy Spirit—he will teach you everything and will remind you of everything I have told you.",John 14:26,God's Presence
I am leaving you with a gift—peace of mind and heart.,John 14:27,Calm
"Jesus told him, “I am the way, the truth, and the life. No one can come to the Father except through me.",John 14:6,God's Presence
Whoever has seen me has seen the Father.,John 14:9,Jesus
"These things I have spoken to you, that my joy may be in you, and that your joy may be full.”",John 15:11,Joy
This is my commandment: Love each other in the same way I have loved you.,John 15:12,Love
You didn’t choose me. I chose you. I appointed you to go and produce lasting fruit.,John 15:16,Disciples
"Those who remain in me, and I in them, will produce much fruit.",John 15:5,Fruitfulness
I have loved you even as the Father has loved me. Remain in my love.,John 15:9,Disciples
"When the Spirit of truth comes, he will guide you into all truth.",John 16:13,Holy Spirit
"Here on earth you will have many trials and sorrows. But take heart, because I have overcome the world.",John 16:33,Overcoming
"Jesus prayed, 'I pray that they will all be one, just as you and I are one...'",John 17:21,Unity
I in them and you in me—may they experience such perfect unity.,John 17:23,Unity
"Standing near the cross were Jesus’ mother, and his mother’s sister, Mary the wife of Clopas, and Mary Magdalene.",John 19:25,Mary
"When Jesus saw his mother standing there beside the disciple he loved, he said to her, 'Dear woman, here is your son.'",John 19:26,Mary
"When Jesus was on the cross, he entrusted his mother to the care of John.",John 19:26–27,Mary
"And he said to this disciple, 'Here is your mother.' And from then on this disciple took her into his home.",John 19:27,Mary
"Jesus’ mother was there, and Jesus and his disciples were also invited to the celebration.",John 2:1–2,Mary
"They have no more wine,” Mary told him.",John 2:3,Mary
"But his mother told the servants, 'Do whatever he tells you.'",John 2:5,Mary
"Jesus said to Thomas, 'Stop doubting and believe.'",John 20:27,Doubt
"For God loved the world so much that he gave his one and only Son, so that everyone who believes in him will not perish but have eternal life.",John 3:16,Jesus
"Jesus replied, 'I tell you the truth, unless you are born again, you cannot see the Kingdom of God.'",John 3:3,New Beginnings
"He must become greater and greater, and I must become less and less.",John 3:30,Humility
You must be born of water and the Spirit.,John 3:5,Water & Life
You must be born again.,John 3:7,Transformation
"The wind blows wherever it wants. Just as you can hear the wind but can’t tell where it comes from or where it is going, so you can’t explain how people are born of the Spirit.",John 3:8,Transformation
"Jesus replied, 'Anyone who drinks this water will soon become thirsty again. But those who drink the water I give will never be thirsty again.'",John 4:13-14,Water & Life
"For God is Spirit, so those who worship him must worship in spirit and in truth.”",John 4:24,God's Presence
"Then Jesus told her, 'I am the Messiah!'",John 4:26,Jesus
"Jesus said, 'I am the bread of life.'",John 6:35,Jesus
The Spirit gives life; the flesh counts for nothing.,John 6:63,Holy Spirit
Let anyone who is thirsty come to me and drink!,John 7:37,Water & Life
Rivers of living water will flow from his heart.,John 7:38,Water & Life
Go now and leave your life of sin.,John 8:11,Forgiveness
"I am the light of the world. If you follow me, you won’t have to walk in darkness.",John 8:12,Light
You are truly my disciples if you remain faithful to my teachings.,John 8:31,Disciples
"You will know the truth, and the truth will set you free.",John 8:32,Freedom
"So if the Son sets you free, you are truly free.",John 8:36,Freedom
Be strong and courageous! Do not be afraid or discouraged. For the Lord your God is with you wherever you go.,Joshua 1:9,Courage
Don’t ever be afraid or discouraged… for the LORD is with you.,Joshua 10:25,Comfort
"The Spirit of the Lord came powerfully upon Samson, and he snapped the ropes on his arms as if they were burnt strands of flax.",Judges 15:14,Anointing
The Lord is peace.,Judges 6:24,Peace
The faithful love of the Lord never ends! His mercies never cease.,Lamentations 3:22,Compassion
The faithful love of the Lord never ends! His mercies never cease. Great is his faithfulness; his mercies begin afresh each morning.,Lamentations 3:22-23,New Beginnings
Great is his faithfulness; his mercies begin afresh each morning.,Lamentations 3:23,Mercy
"The Lord is good to those who depend on him, to those who search for him.",Lamentations 3:25,Patience
"Though he brings grief, he also shows compassion because of the greatness of his unfailing love.",Lamentations 3:32,Comfort
For he does not enjoy hurting people or causing them sorrow.,Lamentations 3:33,Mercy
"Then Moses took the anointing oil and anointed the Tabernacle and everything in it, making them holy.",Leviticus 8:10,Anointing
"He poured some of the anointing oil on Aaron’s head, anointing him and making him holy for his work.",Leviticus 8:12,Anointing
God chose Mary for a divine purpose that changed history.,Luke 1:30,Mary
"Mary said to the angel, 'But how can this happen? I am a virgin.'",Luke 1:34,Mary
"Gabriel replied, 'The Holy Spirit will come upon you, and the power of the Most High will overshadow you.'",Luke 1:35,Mary
For the word of God will never fail.”,Luke 1:37,Faith
"Mary responded, 'I am the Lord’s servant. May everything you have said about me come true.'",Luke 1:38,Mary
"Elizabeth gave a glad cry and exclaimed to Mary, 'God has blessed you above all women.'",Luke 1:42,Mary
"Why am I so honored, that the mother of my Lord should visit me?",Luke 1:43,Mary
You are blessed because you believed that the Lord would do what he said.,Luke 1:45,Mary
"Mary responded, 'Oh, how my soul praises the Lord. How my spirit rejoices in God my Savior!'",Luke 1:46–47,Mary
"And Mary sang a song of praise, known as the Magnificat.",Luke 1:46–55,Mary
"He took notice of his lowly servant girl, and from now on all generations will call me blessed.",Luke 1:48,Mary
"The Mighty One is holy, and he has done great things for me.",Luke 1:49,Mary
He has brought down princes from their thrones and exalted the humble.,Luke 1:52,Humility
He has filled the hungry with good things and sent the rich away with empty hands.,Luke 1:53,Compassion
Mary stayed with Elizabeth about three months and then went back to her own home.,Luke 1:56,Mary
"While he was speaking, a woman in the crowd called out, 'God bless your mother—the womb from which you came.'",Luke 11:27,Mary
"Jesus replied, 'But even more blessed are all who hear the word of God and put it into practice.'",Luke 11:28,Mary
"And forgive us our sins, for we ourselves forgive everyone who is indebted to us.",Luke 11:4,Forgiveness
For the Holy Spirit will teach you at that time what needs to be said.,Luke 12:12,Holy Spirit
"Don’t be afraid, little flock. For it gives your Father great happiness to give you the Kingdom.",Luke 12:32,Compassion
"Those who exalt themselves will be humbled, and those who humble themselves will be exalted.",Luke 14:11,Humility
There is rejoicing in the presence of the angels of God over one sinner who repents.,Luke 15:10,Joy
"To illustrate the point further, Jesus told them this story: “A man had two sons.",Luke 15:11,Compassion
"The apostles said to the Lord, “Increase our faith!”",Luke 17:5,Faith
"For those who exalt themselves will be humbled, and those who humble themselves will be exalted.",Luke 18:14,Humility
The Son of Man came to seek and save those who are lost.,Luke 19:10,Jesus
Mary kept all these things in her heart and thought about them often.,Luke 2:19,Mary
"Eight days later, when the baby was circumcised, he was named Jesus.",Luke 2:21,Mary
"Then Simeon blessed them, and he said to Mary, the baby’s mother, 'This child is destined to cause many in Israel to fall.'",Luke 2:34,Mary
"There was also a prophet, Anna... She came along just as Simeon was talking with Mary and Joseph.",Luke 2:36–38,Mary
"When Jesus’ parents had fulfilled all the requirements of the law of the Lord, they returned home to Nazareth.",Luke 2:39,Mary
"Joseph went from the town of Nazareth in Galilee to Judea... He took with him Mary, to whom he was engaged, who was now expecting a child.",Luke 2:4–5,Mary
"The child grew up healthy and strong. He was filled with wisdom, and God’s favor was on him.",Luke 2:40,Mary
His parents didn’t miss him at first.,Luke 2:43,Mary
"When they couldn’t find him, they went back to Jerusalem to search for him there.",Luke 2:45,Mary
"His mother said to him, 'Son, why have you done this to us?'",Luke 2:48,Mary
But his mother treasured all these things in her heart.,Luke 2:51,Mary
Jesus grew in wisdom and in stature and in favor with God and all the people.,Luke 2:52,Mary
She gave birth to her firstborn son. She wrapped him snugly in strips of cloth and laid him in a manger.,Luke 2:7,Mary
"Father, forgive them, for they don’t know what they are doing.",Luke 23:34,Forgiveness
Then he opened their minds to understand the Scriptures.,Luke 24:45,Disciples
"Jesus, full of the Holy Spirit, returned from the Jordan River. He was led by the Spirit in the wilderness.",Luke 4:1,Anointing
"He has sent me to proclaim that captives will be released, that the blind will see, that the oppressed will be set free.",Luke 4:18,Freedom
"Jesus reached out and touched him. 'I am willing,' he said. 'Be healed.'",Luke 5:13,Compassion
Jesus chose twelve of them to be his apostles.,Luke 6:13,Disciples
Love your enemies! Do good to them. Lend to them without expecting to be repaid.,Luke 6:35,Love
"You must be compassionate, just as your Father is compassionate.",Luke 6:36,Compassion
"Do not judge others, and you will not be judged. Do not condemn others, or it will all come back against you. Forgive others, and you will be forgiven.",Luke 6:37,Forgiveness
"When Jesus saw her, his heart overflowed with compassion. 'Don’t cry!' he said.",Luke 7:13,Compassion
"I tell you, her sins—and they are many—have been forgiven, so she has shown me much love.",Luke 7:47,Forgiveness
"Jesus said, 'Your sins are forgiven.'",Luke 7:48,Forgiveness
"His mother and brothers came to see him, but they couldn’t get to him because of the crowd.",Luke 8:19,Mary
"Someone told Jesus, 'Your mother and your brothers are standing outside.'",Luke 8:20,Mary
"Jesus replied, 'My mother and my brothers are all those who hear God’s word and obey it.'",Luke 8:21,Mary
He called his disciples together and gave them power and authority to cast out all demons and to heal all diseases.,Luke 9:1,Disciples
"When the apostles returned, they told Jesus everything they had done.",Luke 9:10,Disciples
"Then Jesus told his disciples, 'If any of you wants to be my follower, you must give up your own way, take up your cross daily, and follow me.'",Luke 9:23,Disciples
"I am the Lord, and I do not change.",Malachi 3:6,Doubt
"They were amazed at his teaching, because he taught as one who had authority.",Mark 1:22,Disciples
Even the Son of Man came not to be served but to serve others.,Mark 10:45,Humility
"Jesus went up on a mountainside and called to him those he wanted, and they came to him.",Mark 3:13,Disciples
He appointed twelve—designating them apostles—that they might be with him and that he might send them out to preach.,Mark 3:14,Disciples
Don’t be afraid. Just have faith.,Mark 5:36,Courage
They went out and preached that people should repent.,Mark 6:12,Disciples
"The provided article only contains the text for Mark 6:30 from various Bible translations. It does not include verses 31-44 or any detailed commentary on Mark 6:30-44 NLT. Therefore, I cannot provide a detailed answer for Mark 6:30-44 NLT based on the given document.",Mark 6:30,Compassion
He sent them out two by two and gave them authority over evil spirits.,Mark 6:7,Disciples
"I do believe, but help me overcome my unbelief!",Mark 9:24,Doubt
"Anyone who wants to be first must be the very last, and the servant of all.",Mark 9:35,Disciples
"This is how Jesus the Messiah was born. His mother, Mary, was engaged to be married to Joseph.",Matthew 1:18,Mary
"An angel of the Lord appeared to him in a dream. 'Joseph, son of David,' the angel said, 'do not be afraid to take Mary as your wife.'",Matthew 1:20,Mary
"And you will name him Jesus, for he will save his people from their sins.",Matthew 1:21,Jesus
All of this occurred to fulfill the Lord’s message through his prophet.,Matthew 1:22,Mary
"Then Jesus said, “Come to me, all of you who are weary and carry heavy burdens, and I will give you rest.”",Matthew 11:28,Comfort
Come to me… I will give you rest… my yoke is easy to bear …,Matthew 11:28-30,Comfort
"Take my yoke upon you. Let me teach you, because I am humble and gentle at heart.",Matthew 11:29,Humility
In his name the nations will put their hope.,Matthew 12:21,Hope
Then the righteous will shine like the sun in their Father’s Kingdom.,Matthew 13:43,Light in Darkness
"As soon as Jesus heard the news, he left in a boat to a remote area to be alone. But the crowds heard where he was headed and followed on foot from many towns.",Matthew 14:13,Compassion
"Jesus saw the huge crowd as he stepped from the boat, and he had compassion on them and healed their sick.",Matthew 14:14,Compassion
"He replied, 'You of little faith, why did you doubt?'",Matthew 14:31,Doubt
"The information you have requested is unavailable in the document. The provided article only contains the text for Matthew 15:29 in various translations, and does not include verses 30-39 or any detailed explanation of Matthew 15:29-39 in the NLT version.",Matthew 15:29,Compassion
"His face shone like the sun, and his clothes became as white as light.",Matthew 17:2,Light in Darkness
You don't have enough faith… If you had faith even as small as a mustard seed… nothing would be impossible.,Matthew 17:20,Doubt
"Then Peter came to him and asked, 'Lord, how often should I forgive someone who sins against me? Seven times?' 'No, not seven times,' Jesus replied, 'but seventy times seven!'",Matthew 18:21-22,Forgiveness
"Jesus said, 'Let the little children come to me... for the Kingdom of Heaven belongs to those who are like these children.'",Matthew 19:14,Jesus
With God everything is possible.,Matthew 19:26,Possibility
"Jesus was born in Bethlehem in Judea, during the reign of King Herod.",Matthew 2:1,Mary
"They entered the house and saw the child with his mother, Mary, and they bowed down and worshiped him.",Matthew 2:11,Mary
"After the wise men were gone, an angel of the Lord appeared to Joseph in a dream. 'Get up! Flee to Egypt with the child and his mother.'",Matthew 2:13,Mary
So Joseph got up and returned to the land of Israel with Jesus and his mother.,Matthew 2:21,Mary
"As Jesus and the disciples left the town of Jericho, a large crowd followed behind.",Matthew 20:29,Compassion
"Jesus stopped and called, 'What do you want me to do for you?'",Matthew 20:32,Compassion
"You can pray for anything, and if you have faith, you will receive it.”",Matthew 21:22,Faith
Love your neighbor as yourself.,Matthew 22:39,Love
The greatest among you must be a servant.,Matthew 23:11,Humility
Those who exalt themselves will be humbled.,Matthew 23:12,Humility
"Therefore, go and make disciples of all the nations, baptizing them in the name of the Father and the Son and the Holy Spirit. Teach these new disciples to obey all the commands I have given you. And be sure of this: I am with you always, even to the end of the age.”",Matthew 28:19-20,God's Presence
"I am with you always, even to the end of the age.",Matthew 28:20,God's Presence
They were all baptized in water as a sign of repentance.,Matthew 3:11,Water & Life
Jesus was baptized in the Jordan River.,Matthew 3:13,Water & Life
"Jesus called out to them, 'Come, follow me, and I will show you how to fish for people!'",Matthew 4:19,Disciples
They left their nets at once and followed him.,Matthew 4:20,Disciples
You are the light of the world—like a city on a hilltop that cannot be hidden.,Matthew 5:14,Identity
No one lights a lamp and then puts it under a basket.,Matthew 5:15,Light in Darkness
"Let your good deeds shine out for all to see, so that everyone will praise your heavenly Father.",Matthew 5:16,Love
"God blesses those who mourn, for they will be comforted.",Matthew 5:4,Comfort
"God blesses those who are humble, for they will inherit the whole earth.",Matthew 5:5,Humility
"God blesses those who are merciful, for they will be shown mercy.",Matthew 5:7,Mercy
"God blesses those whose hearts are pure, for they will see God.",Matthew 5:8,God's Presence
"Blessed are the peacemakers, for they will be called children of God.",Matthew 5:9,Peace
"Forgive us our sins, as we have forgiven those who sin against us.",Matthew 6:12,Forgiveness
"If you forgive those who sin against you, your heavenly Father will forgive you.",Matthew 6:14,Forgiveness
"But if you refuse to forgive others, your Father will not forgive your sins.",Matthew 6:15,Forgiveness
"Seek the Kingdom of God above all else, and live righteously.",Matthew 6:33,Focus
Do to others whatever you would like them to do to you. This is the essence of all that is taught in the law and the prophets.,Matthew 7:12,Love
"When Jesus had finished saying these things, the crowds were amazed at his teaching.",Matthew 7:28,Disciples
He took our sicknesses and removed our diseases.,Matthew 8:17,Compassion
"Then Jesus said, 'I do want to. Be healed!'",Matthew 8:3,Compassion
"Then he added, 'Now go and learn the meaning of this Scripture: ‘I want you to show mercy, not offer sacrifices.’'",Matthew 9:13,Compassion
"And no one puts new wine into old wineskins. For the old skins would burst from the pressure, spilling the wine and ruining the skins. New wine is stored in new wineskins so that both are preserved.”",Matthew 9:17,New Beginnings
"Take courage, my child, your sins are forgiven.",Matthew 9:2,Courage
"Jesus traveled through all the towns and villages of that area, teaching in the synagogues and announcing the Good News about the Kingdom. And he healed every kind of disease and illness.",Matthew 9:35,Compassion
"Jesus had compassion on them because they were confused and helpless, like sheep without a shepherd.",Matthew 9:36,Compassion
He will stand to lead his flock with the Lord’s strength… Then his people will live there undisturbed.,Micah 5:4,Shepherd
And he will be our peace.,Micah 5:5,Peace
"What does the Lord require of you? To act justly, to love mercy, and to walk humbly.",Micah 6:8,Justice
You delight in showing unfailing love.,Micah 7:18,Forgiveness
Once again you will have compassion on us. You will trample our sins under your feet and throw them into the depths of the ocean!,Micah 7:19,Mercy
"The Lord is good, a strong refuge when trouble comes.",Nahum 1:7,Shelter
"Don’t be dejected and sad, for the joy of the Lord is your strength!",Nehemiah 8:10,Courage
"You are a God of forgiveness, gracious and merciful, slow to become angry, and rich in unfailing love.",Nehemiah 9:17,Forgiveness
"Then Moses raised his hand and struck the rock twice with the staff, and water gushed out.",Numbers 20:11,Water & Life
"God is not a man, so he does not lie… Has he ever spoken and failed to act?",Numbers 23:19,Doubt
The Lord bless you and keep you; the Lord make his face shine upon you and give you peace.,Numbers 6:24-26,Peace
May the Lord show you his favor and give you his peace.,Numbers 6:26,Peace
Work together with one mind and purpose.,Philippians 1:27,Unity
I thank my God every time I remember you.,Philippians 1:3,Gratitude
"And I am certain that God, who began the good work within you, will continue his work until it is finally finished on the day when Christ Jesus returns.",Philippians 1:6,Purpose
Is there any encouragement from belonging to Christ? Any comfort from his love? Any fellowship together in the Spirit? Are your hearts tender and compassionate?,Philippians 2:1,Compassion
"If then you have any encouragement in Christ... complete my joy by being of the same mind, having the same love, being in full accord and of one mind.",Philippians 2:1–2,Unity
"For God is working in you, giving you the desire and the power to do what pleases him.",Philippians 2:13,Patience
"Do everything without complaining and arguing, so that no one can criticize you.",Philippians 2:14,Unity
"Be humble, thinking of others as better than yourselves.",Philippians 2:3,Humility
"Don’t look out only for your own interests, but take an interest in others, too.",Philippians 2:4,Love
You must have the same attitude that Christ Jesus had.,Philippians 2:5,Humility
"Instead, he gave up his divine privileges; he took the humble position of a slave.",Philippians 2:7,Humility
He humbled himself in obedience to God and died a criminal’s death on a cross.,Philippians 2:8,Jesus
God elevated him to the place of highest honor and gave him the name above all other names.,Philippians 2:9,Jesus
"I can do everything through Christ, who gives me strength.",Philippians 4:13,Empowerment
"And this same God who takes care of me will supply all your needs from his glorious riches, which have been given to us in Christ Jesus.",Philippians 4:19,Jesus
May the grace of the Lord Jesus be with your spirit.,Philippians 4:23,Grace
Always be full of joy in the Lord. I say it again—rejoice!,Philippians 4:4,Joy
Let everyone see that you are considerate in all you do.,Philippians 4:5,Love
"Don’t worry about anything; instead, pray about everything.",Philippians 4:6,Prayer
"Don't worry about anything; instead, pray about everything. Tell God what you need, and thank him for all he has done. Then you will experience God's peace, which exceeds anything we can understand. His peace will guard your hearts and minds as you live in Christ Jesus.",Philippians 4:6-7,Peace
"And the peace of God, which surpasses all understanding, will guard your hearts and minds in Christ Jesus.",Philippians 4:7,Peace
Keep putting into practice all you learned and received... Then the God of peace will be with you.,Philippians 4:9,Peace
The words of the godly are a life-giving fountain; the words of the wicked conceal violent intentions.,Proverbs 10:11,Wisdom
The hope of the righteous brings joy.,Proverbs 10:28,Hope
"The wise are glad to be instructed, but babbling fools fall flat on their faces.",Proverbs 10:8,Wisdom
"Pride leads to disgrace, but with humility comes wisdom.",Proverbs 11:2,Humility
Give freely and become more wealthy; be stingy and lose everything.,Proverbs 11:24,Love
The generous will prosper; those who refresh others will themselves be refreshed.,Proverbs 11:25,Generosity
"To learn, you must love discipline; it is stupid to hate correction.",Proverbs 12:1,Humility
"Fools think their own way is right, but the wise listen to others.",Proverbs 12:15,Humility
Pride leads to conflict; those who take advice are wise.,Proverbs 13:10,Wisdom
"Hope deferred makes the heart sick, but a dream fulfilled is a tree of life.",Proverbs 13:12,Hope
Wise people think before they act; fools don't—and even brag about their foolishness.,Proverbs 13:16,Wisdom
Walk with the wise and become wise; associate with fools and get in trouble.,Proverbs 13:20,Wisdom
A hot-tempered person starts fights; a cool-tempered person stops them.,Proverbs 15:18,Patience
Fear of the Lord teaches wisdom; humility precedes honor.,Proverbs 15:33,Humility
Better to live humbly with the poor than to share plunder with the proud.,Proverbs 16:19,Humility
"Whoever gives thought to the word will discover good, and blessed is the one who trusts in the Lord.",Proverbs 16:20,Trust
"Commit your actions to the Lord, and your plans will succeed.",Proverbs 16:3,Commitment
Better to be patient than powerful; better to have self-control than to conquer a city.,Proverbs 16:32,Patience
"It is senseless to pay tuition to educate a fool, since he has no heart for learning.",Proverbs 17:16,Wisdom
A cheerful heart is good medicine.,Proverbs 17:22,Joy
"Love prospers when a fault is forgiven, but dwelling on it separates close friends.",Proverbs 17:9,Forgiveness
The name of the Lord is a strong fortress; the godly run to him and are safe.,Proverbs 18:10,Courage
Sensible people control their temper; they earn respect by overlooking wrongs.,Proverbs 19:11,Wisdom
Wise choices will watch over you. Understanding will keep you safe.,Proverbs 2:11,Wisdom
"Tune your ears to wisdom, and concentrate on understanding.",Proverbs 2:2,Wisdom
For the LORD grants wisdom! From his mouth come knowledge and understanding.,Proverbs 2:6,Wisdom
He guards the paths of the just and protects those who are faithful to him.,Proverbs 2:8,Refuge
"True humility and fear of the Lord lead to riches, honor, and long life.",Proverbs 22:4,Humility
"Don’t brag about tomorrow, since you don’t know what the day will bring.",Proverbs 27:1,Humility
"Let someone else praise you, not your own mouth—a stranger, not your own lips.",Proverbs 27:2,Humility
"People who conceal their sins will not prosper, but if they confess and turn from them, they will receive mercy.",Proverbs 28:13,Humility
"To discipline a child produces wisdom, but a mother is disgraced by an undisciplined child.",Proverbs 29:15,Wisdom
"Pride ends in humiliation, while humility brings honor.",Proverbs 29:23,Humility
Never let loyalty and kindness leave you! Tie them around your neck as a reminder. Write them deep within your heart.,Proverbs 3:3,Love
The Lord mocks the mockers but is gracious to the humble.,Proverbs 3:34,Humility
Trust in the Lord with all your heart; do not depend on your own understanding.,Proverbs 3:5,Trust
Trust in the LORD with all your heart … He will show you which path to take.,Proverbs 3:5-6,Comfort
"Don’t be impressed with your own wisdom. Instead, fear the Lord and turn away from evil.",Proverbs 3:7,Humility
"Guard your heart above all else, for it determines the course of your life.",Proverbs 4:23,Discernment
Getting wisdom is the wisest thing you can do!,Proverbs 4:7,Wisdom
"Joyful are those who listen to me, watching for me daily at my gates.",Proverbs 8:34,Joy
"They are like trees planted along the riverbank, bearing fruit each season.",Psalm 1:3,Water & Life
"Shout with joy to the Lord, all the earth!",Psalm 100:1,Joy
"Know that the Lord is God. He made us, and we are his. We are his people, the sheep of his pasture.",Psalm 100:3,Shepherd
Enter his gates with thanksgiving; go into his courts with praise.,Psalm 100:4,God's Presence
For the Lord is good. His unfailing love continues forever.,Psalm 100:5,Goodness
"Let all that I am praise the LORD ; with my whole heart, I will praise his holy name.",Psalm 103:1,Compassion
"He does not punish us for all our sins; he does not deal harshly with us, as we deserve.",Psalm 103:10,Compassion
He has removed our sins as far from us as the east is from the west.,Psalm 103:12,Forgiveness
"The LORD is like a father to his children, tender and compassionate to those who fear him.",Psalm 103:13,Compassion
From his throne he has established his rule over everything.,Psalm 103:19,God's Presence
Let all that I am praise the Lord; may I never forget the good things he does for me.,Psalm 103:2,Compassion
Let all that I am praise the Lord.,Psalm 103:22,God's Presence
He forgives all my sins and heals all my diseases.,Psalm 103:3,Compassion
He redeems me from death and crowns me with love and tender mercies.,Psalm 103:4,Compassion
He fills my life with good things. My youth is renewed like the eagle’s!,Psalm 103:5,God's Presence
"The Lord is compassionate and merciful, slow to get angry and filled with unfailing love.",Psalm 103:8,Grace
He makes springs pour water into the ravines; it flows between the mountains.,Psalm 104:10,Water & Life
You spread out the skies like a curtain and make your home on the clouds. You make the winds your messengers and flames of fire your servants.,Psalm 104:2-4,Anointing
Give thanks to the Lord and proclaim his greatness. Let the whole world know what he has done.,Psalm 105:1,Gratitude
There is joy for those who deal justly with others and always do what is right.,Psalm 106:3,Joy
"Give thanks to the Lord, for he is good; his love endures forever.",Psalm 107:1,Gratitude
"They cried to the Lord in their trouble, and he saved them from their distress.",Psalm 107:13,Freedom
He brought them out of darkness and the deepest gloom and broke away their chains.,Psalm 107:14,Freedom
Let them give thanks to the Lord for his unfailing love and his wonderful deeds for mankind.,Psalm 107:15,Freedom
Let the redeemed of the Lord tell their story—those he redeemed from the hand of the foe.,Psalm 107:2,Freedom
Let them give thanks to the Lord for his unfailing love and his wonderful deeds for mankind.,Psalm 107:8,Gratitude
He satisfies the thirsty and fills the hungry with good things.,Psalm 107:9,Gratitude
"I will thank you, Lord, among all the people. I will sing your praises among the nations.",Psalm 108:3,Gratitude
I trust in the Lord for protection.,Psalm 11:1,Trust
"Even in darkness light dawns for the upright, for those who are gracious and compassionate and righteous.",Psalm 112:4,Freedom
They do not fear bad news; they confidently trust the Lord to care for them.,Psalm 112:7,Compassion
I will offer you a sacrifice of thanksgiving and call on the name of the Lord.,Psalm 116:17,Gratitude
"How kind the LORD is! How good he is! So merciful, this God of ours!",Psalm 116:5,Compassion
The Lord is my strength and my song; he has given me victory.,Psalm 118:14,Courage
This is the day the Lord has made. We will rejoice and be glad in it.,Psalm 118:24,Joy
"You are my God, and I will praise you! You are my God, and I will exalt you!",Psalm 118:28,Gratitude
"Give thanks to the Lord, for he is good! His faithful love endures forever.",Psalm 118:29,Gratitude
I called on the Lord in distress; the Lord answered me and set me free.,Psalm 118:5,Courage
The Lord is with me; I will not be afraid. What can mere mortals do to me?,Psalm 118:6,Courage
It is better to take refuge in the Lord than to trust in people.,Psalm 118:8,Trust
"Joyful are those who live like they have integrity, who follow the Lord’s instructions.",Psalm 119:1,Joy
Your word is a lamp to guide my feet and a light for my path.,Psalm 119:105,Light in Darkness
Your laws are my treasure; they are my heart’s delight.,Psalm 119:111,Joy
You are my refuge and my shield; your word is my source of hope.,Psalm 119:114,Hope
The unfolding of your words gives light; it gives understanding to the simple.,Psalm 119:130,Light in Darkness
"I rejoice in doing your will, as much as in riches.",Psalm 119:14,Joy
